name	command	threads	rep	mode	cksum	bytes
1000g_chr22_full_gt	view_bcf	0	1	baseline	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	0	1	plan	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	0	2	plan	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	0	2	baseline	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	0	3	baseline	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	0	3	plan	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	0	4	plan	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	0	4	baseline	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	0	5	baseline	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	0	5	plan	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	2	1	baseline	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	2	1	plan	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	2	2	plan	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	2	2	baseline	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	2	3	baseline	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	2	3	plan	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	2	4	plan	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	2	4	baseline	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	2	5	baseline	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	2	5	plan	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	4	1	baseline	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	4	1	plan	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	4	2	plan	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	4	2	baseline	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	4	3	baseline	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	4	3	plan	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	4	4	plan	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	4	4	baseline	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	4	5	baseline	4277054868	5658221536
1000g_chr22_full_gt	view_bcf	4	5	plan	4277054868	5658221536
1000g_chr22_full_gt	view_keep2_bcf	0	1	baseline	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	0	1	plan	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	0	2	plan	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	0	2	baseline	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	0	3	baseline	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	0	3	plan	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	0	4	plan	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	0	4	baseline	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	0	5	baseline	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	0	5	plan	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	2	1	baseline	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	2	1	plan	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	2	2	plan	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	2	2	baseline	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	2	3	baseline	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	2	3	plan	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	2	4	plan	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	2	4	baseline	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	2	5	baseline	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	2	5	plan	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	4	1	baseline	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	4	1	plan	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	4	2	plan	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	4	2	baseline	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	4	3	baseline	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	4	3	plan	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	4	4	plan	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	4	4	baseline	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	4	5	baseline	1085838032	132179831
1000g_chr22_full_gt	view_keep2_bcf	4	5	plan	1085838032	132179831
1000g_chr22_full_gt	view_sites_bcf	0	1	baseline	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	0	1	plan	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	0	2	plan	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	0	2	baseline	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	0	3	baseline	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	0	3	plan	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	0	4	plan	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	0	4	baseline	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	0	5	baseline	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	0	5	plan	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	2	1	baseline	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	2	1	plan	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	2	2	plan	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	2	2	baseline	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	2	3	baseline	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	2	3	plan	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	2	4	plan	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	2	4	baseline	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	2	5	baseline	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	2	5	plan	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	4	1	baseline	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	4	1	plan	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	4	2	plan	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	4	2	baseline	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	4	3	baseline	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	4	3	plan	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	4	4	plan	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	4	4	baseline	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	4	5	baseline	3405200537	125701403
1000g_chr22_full_gt	view_sites_bcf	4	5	plan	3405200537	125701403
1000g_chr22_full_gt	query_sites	0	1	baseline	4292322225	17828731
1000g_chr22_full_gt	query_sites	0	1	plan	4292322225	17828731
1000g_chr22_full_gt	query_sites	0	2	plan	4292322225	17828731
1000g_chr22_full_gt	query_sites	0	2	baseline	4292322225	17828731
1000g_chr22_full_gt	query_sites	0	3	baseline	4292322225	17828731
1000g_chr22_full_gt	query_sites	0	3	plan	4292322225	17828731
1000g_chr22_full_gt	query_sites	0	4	plan	4292322225	17828731
1000g_chr22_full_gt	query_sites	0	4	baseline	4292322225	17828731
1000g_chr22_full_gt	query_sites	0	5	baseline	4292322225	17828731
1000g_chr22_full_gt	query_sites	0	5	plan	4292322225	17828731
1000g_chr22_full_gt	query_gt_keep2	0	1	baseline	3426066302	22070940
1000g_chr22_full_gt	query_gt_keep2	0	1	plan	3426066302	22070940
1000g_chr22_full_gt	query_gt_keep2	0	2	plan	3426066302	22070940
1000g_chr22_full_gt	query_gt_keep2	0	2	baseline	3426066302	22070940
1000g_chr22_full_gt	query_gt_keep2	0	3	baseline	3426066302	22070940
1000g_chr22_full_gt	query_gt_keep2	0	3	plan	3426066302	22070940
1000g_chr22_full_gt	query_gt_keep2	0	4	plan	3426066302	22070940
1000g_chr22_full_gt	query_gt_keep2	0	4	baseline	3426066302	22070940
1000g_chr22_full_gt	query_gt_keep2	0	5	baseline	3426066302	22070940
1000g_chr22_full_gt	query_gt_keep2	0	5	plan	3426066302	22070940
1000g_chr22_full_gt	query_gt_all	0	1	baseline	3807558090	11066369316
1000g_chr22_full_gt	query_gt_all	0	1	plan	3807558090	11066369316
1000g_chr22_full_gt	query_gt_all	0	2	plan	3807558090	11066369316
1000g_chr22_full_gt	query_gt_all	0	2	baseline	3807558090	11066369316
1000g_chr22_full_gt	query_gt_all	0	3	baseline	3807558090	11066369316
1000g_chr22_full_gt	query_gt_all	0	3	plan	3807558090	11066369316
1000g_chr22_full_gt	query_gt_all	0	4	plan	3807558090	11066369316
1000g_chr22_full_gt	query_gt_all	0	4	baseline	3807558090	11066369316
1000g_chr22_full_gt	query_gt_all	0	5	baseline	3807558090	11066369316
1000g_chr22_full_gt	query_gt_all	0	5	plan	3807558090	11066369316
1000g_chr22_full_gt	stats	0	1	baseline	4066751910	85442
