name	command	threads	comparison	status
ccdg_10k	view_bcf	0	baseline_vs_plan	ok
ccdg_10k	view_sites	0	baseline_vs_plan	ok
ccdg_10k	query_sites	0	baseline_vs_plan	ok
ccdg_10k	query_format	0	baseline_vs_plan	ok
ccdg_10k	stats	0	baseline_vs_plan	ok
ccdg_10k	filter_gt	0	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_bcf	0	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_sites	0	baseline_vs_plan	ok
1000g_chr22_full_genotypes	query_sites	0	baseline_vs_plan	ok
1000g_chr22_full_genotypes	query_format	0	baseline_vs_plan	ok
1000g_chr22_full_genotypes	stats	0	baseline_vs_plan	ok
1000g_chr22_full_genotypes	filter_gt	0	baseline_vs_plan	ok
large_reordered_likelihood_2048s	view_bcf	0	baseline_vs_plan	ok
large_reordered_likelihood_2048s	view_sites	0	baseline_vs_plan	ok
large_reordered_likelihood_2048s	query_sites	0	baseline_vs_plan	ok
large_reordered_likelihood_2048s	query_format	0	baseline_vs_plan	ok
large_reordered_likelihood_2048s	stats	0	baseline_vs_plan	ok
large_reordered_likelihood_2048s	filter_gt	0	baseline_vs_plan	ok
large_float_string_2048s	view_bcf	0	baseline_vs_plan	ok
large_float_string_2048s	view_sites	0	baseline_vs_plan	ok
large_float_string_2048s	query_sites	0	baseline_vs_plan	ok
large_float_string_2048s	query_format	0	baseline_vs_plan	ok
large_float_string_2048s	stats	0	baseline_vs_plan	ok
large_float_string_2048s	filter_gt	0	baseline_vs_plan	ok
gnomad_sites_chr22	view_bcf	0	baseline_vs_plan	ok
gnomad_sites_chr22	view_sites	0	baseline_vs_plan	ok
gnomad_sites_chr22	query_sites	0	baseline_vs_plan	ok
gnomad_sites_chr22	query_format	0	baseline_vs_plan	skipped_no_samples
gnomad_sites_chr22	stats	0	baseline_vs_plan	ok
gnomad_sites_chr22	filter_gt	0	baseline_vs_plan	skipped_no_samples
